institution_name,institution_type,department,service_category,address,sigungu,phone,latitude,longitude,geocode_query,matched_address
마음튼튼의원,의원,가정의학과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 강화군 강화읍 중앙로 27, 성용프라자 3층",강화군,032-932-9998,37.74064047,126.4907301,인천광역시 강화군 강화읍 중앙로 27,인천 강화군 강화읍 중앙로 27
임성식 내과의원,의원,진단검사의학과 영상의학과 비뇨의학과 피부과 이비인후과 소아청소년과 정형외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 강화군 강화읍 강화대로 395, 준프라자 빌딩 3층",강화군,032-932-3375,37.74539103,126.4868201,인천광역시 강화군 강화읍 강화대로 395,인천 강화군 강화읍 강화대로 395
해주병원,정신병원,정신건강의학과,MENTAL_HEALTH,인천광역시 강화군 하점면 창후로 286,강화군,032-933-7114,37.76897956,126.3587163,인천광역시 강화군 하점면 창후로 286,인천 강화군 하점면 창후로 286
다원병원,정신병원,가정의학과 정신건강의학과 신경과 내과,MENTAL_HEALTH,인천광역시 계양구 장제로 857 (임학동),계양구,032-543-7114,37.54397655,126.7373006,인천광역시 계양구 장제로 857,인천 계양구 장제로 857
닥터봉정민내과의원,의원,재활의학과 비뇨의학과 피부과 이비인후과 소아청소년과 마취통증의학과 정형외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 계양구 장제로 714, 세종팰리스 2~3층 204호 205호, 301호 (작전동)",계양구,032-719-7797,37.53135716,126.7342344,인천광역시 계양구 장제로 714,인천 계양구 장제로 714
마음편한병원,정신병원,가정의학과 정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 계양구 아나지로 380, 해룡빌딩 1~5층 (작전동)",계양구,032-207-7070,37.52517342,126.7343945,인천광역시 계양구 아나지로 380,인천 계양구 아나지로 380
빅토리아한방병원,한방병원,내과 재활의학과 한방내과 한방신경정신과 사상체질과 한방응급과,MENTAL_HEALTH,"인천광역시 계양구 계산새로 71, C동 11,12,13층 (계산동, 하이베라스)",계양구,032-552-8050,37.53878034,126.7358176,인천광역시 계양구 계산새로 71,인천 계양구 계산새로 71
서울메디컬의원,의원,내과 외과 정형외과 신경외과 소아청소년과 정신건강의학과 심장혈관흉부외과 성형외과 마취통증의학과 이비인후과 피부과 비뇨의학과 진단검사의학과 재활의학과 가정의학과,MENTAL_HEALTH,"인천광역시 계양구 계양대로 188, 대덕노바체 2,3층 203,204,207,307호 (계산동)",계양구,032-556-8275,37.54051728,126.7231148,인천광역시 계양구 계양대로 188,인천 계양구 계양대로 188
서울이음정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 계양구 계산새로 71, 하이베라스 D동 2층 209호 (계산동)",계양구,032-546-0111,37.53878034,126.7358176,인천광역시 계양구 계산새로 71,인천 계양구 계산새로 71
성모늘봄정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 계양구 계양대로 38, 6층 601호 (작전동)",계양구,032-719-3757,37.52723029,126.7227812,인천광역시 계양구 계양대로 38,인천 계양구 계양대로 38
송헌일토닥토닥정신건강의학과의원,의원,정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 계양구 장제로 899, 2층 (임학동)",계양구,032-543-7583,37.54700125,126.7399332,인천광역시 계양구 장제로 899,인천 계양구 장제로 899
아루카소아청소년과의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 정형외과 외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 계양구 도두리로 46, 동보아파트상가 2층 203, 216호 (작전동)",계양구,032-544-8275,37.53355181,126.7390853,인천광역시 계양구 도두리로 46,인천 계양구 도두리로 46
아이플러스소아청소년과의원,의원,소아청소년과 내과 이비인후과 정신건강의학과 피부과,MENTAL_HEALTH,"인천광역시 계양구 장제로875번길 1, 2층 (임학동, 대신빌딩)",계양구,032-545-3653,37.54524372,126.7383634,인천광역시 계양구 장제로875번길 1,인천 계양구 장제로875번길 1
연세정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 계양구 경명대로 1077, 로얄프라자 303호 (계산동)",계양구,032-555-8810,37.54364499,126.7266653,인천광역시 계양구 경명대로 1077,인천 계양구 경명대로 1077
오준내과의원,의원,내과 신경과 정신건강의학과 소아청소년과 안과 이비인후과 피부과 비뇨의학과,MENTAL_HEALTH,"인천광역시 계양구 효서로 300, 삼호프라자 3층 307호 (작전동)",계양구,032-545-4567,37.52782452,126.7295898,인천광역시 계양구 효서로 300,인천 계양구 효서로 300
의료법인 삼정의료재단 삼정병원,정신병원,정신건강의학과,MENTAL_HEALTH,인천광역시 계양구 장제로 800(계산동),계양구,032-543-7530,37.53915196,126.7349569,인천광역시 계양구 장제로 800,인천 계양구 장제로 800
의료법인보람의료재단보람병원,정신병원,내과 정신건강의학과,MENTAL_HEALTH,인천광역시 계양구 오조산로 11 (작전동),계양구,032-542-0114,37.53189225,126.7379405,인천광역시 계양구 오조산로 11,인천 계양구 오조산로 11
이석환신경정신과의원,의원,신경과 정신건강의학과,MENTAL_HEALTH,"인천광역시 계양구 계양대로 55, 민재빌딩 4층 (작전동)",계양구,032-552-0392,37.52874724,126.7221029,인천광역시 계양구 계양대로 55,인천 계양구 계양대로 55
인천세종병원,종합병원,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 응급의학과, 치주과",MENTAL_HEALTH,인천광역시 계양구 계양문화로 20 (작전동),계양구,032-240-8000,37.53253936,126.7368531,인천광역시 계양구 계양문화로 20,인천 계양구 계양문화로 20
임태식신경정신과의원,의원,신경과 정신건강의학과,MENTAL_HEALTH,"인천광역시 계양구 계산새로65번길 17, 2층 (계산동)",계양구,032-554-5511,37.53983206,126.7353272,인천광역시 계양구 계산새로65번길 17,인천 계양구 계산새로65번길 17
가로수정신건강의학과의원,의원,마취통증의학과 정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 남동구 논고개로 114, 에이스타워 203호 (논현동)",남동구,032-437-5700,37.4014436,126.7246685,인천광역시 남동구 논고개로 114,인천 남동구 논고개로 114
가온요양병원,요양병원,한방내과 재활의학과 이비인후과 소아청소년과 외과 정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 남동구 남동대로 797, 가온 요양병원 (구월동)",남동구,032-212-2001,37.45353627,126.7077365,인천광역시 남동구 남동대로 797,인천 남동구 남동대로 797
구월성모정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 남동구 호구포로 818, 퍼스트하임프라자 213,214,215호 (구월동)",남동구,032-713-9199,37.45536467,126.7196678,인천광역시 남동구 호구포로 818,인천 남동구 호구포로 818
김영익정신과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 남동구 구월남로 174 (구월동, 206호)",남동구,032-472-5280,37.45277984,126.7090762,인천광역시 남동구 구월남로 174,인천 남동구 구월남로 174
논현탑내과의원,의원,가정의학과 재활의학과 비뇨의학과 피부과 이비인후과 소아청소년과 정형외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 남동구 논고개로 61, 4층 403호 (논현동, 라피에스타)",남동구,032-433-1175,37.39753735,126.7275204,인천광역시 남동구 논고개로 61,인천 남동구 논고개로 61
마음돌봄의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 남동구 논현로 40, 5층 503호 (논현동, THE CLASS PLAZA)",남동구,032-761-7575,37.40226584,126.710695,인천광역시 남동구 논현로 40,인천 남동구 논현로 40
미래정신과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 남동구 성말로13번길 15, 3층 9호 (구월동, 메인프라자)",남동구,032-428-7500,37.44626295,126.7017867,인천광역시 남동구 성말로13번길 15,인천 남동구 성말로13번길 15
새봄의원,의원,가정의학과 재활의학과 영상의학과 비뇨의학과 이비인후과 안과 소아청소년과 마취통증의학과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 남동구 호구포로 770, 2층 (구월동)",남동구,032-465-0778,37.45101006,126.7191253,인천광역시 남동구 호구포로 770,인천 남동구 호구포로 770
새희망병원,정신병원,가정의학과 소아청소년과 정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 남동구 남동대로922번길 54, 새희망병원 (간석동)",남동구,032-431-2555,37.46484827,126.7114825,인천광역시 남동구 남동대로922번길 54,인천 남동구 남동대로922번길 54
서울정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 남동구 인하로489번길 28, 501,502호 (구월동, 로데오플라자)",남동구,032-433-5335,37.44484813,126.7014806,인천광역시 남동구 인하로489번길 28,인천 남동구 인하로489번길 28
성가신경과정신과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,인천광역시 남동구 남동대로 889 (간석동),남동구,032-423-3322,37.46175224,126.7080029,인천광역시 남동구 남동대로 889,인천 남동구 남동대로 889
숨수면의원,의원,이비인후과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 남동구 인주대로 582, 신현프라자 6층 602호 (구월동)",남동구,032-719-9525,37.44978009,126.7015901,인천광역시 남동구 인주대로 582,인천 남동구 인주대로 582
연세마음숲정신건강의학과의원,의원,가정의학과 재활의학과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 남동구 논고개로123번길 17, 205-1, 309호 (논현동)",남동구,032-424-3375,37.40168489,126.7230837,인천광역시 남동구 논고개로123번길 17,인천 남동구 논고개로123번길 17
연세준정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 남동구 논고개로 81, 501호 (논현동, 우리들메디타워)",남동구,032-435-1661,37.39868727,126.7258978,인천광역시 남동구 논고개로 81,인천 남동구 논고개로 81
예인병원,정신병원,가정의학과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 남동구 논고개로 71, 가산타워 7~10층 1001,1002호 (논현동)",남동구,032-426-1800,37.39801477,126.7268433,인천광역시 남동구 논고개로 71,인천 남동구 논고개로 71
의료법인 정진의료재단 영화병원,정신병원,소아청소년과 정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 남동구 소래역로 42, 소래타워 302호, 6~10층 (논현동)",남동구,032-442-2020,37.40082883,126.7349583,인천광역시 남동구 소래역로 42,인천 남동구 소래역로 42
이승희 정신건강의학과의원,의원,신경과 정신건강의학과,MENTAL_HEALTH,"인천광역시 남동구 구월남로 172, 402호 (구월동, 정락빌딩)",남동구,032-465-8766,37.45275153,126.7084115,인천광역시 남동구 구월남로 172,인천 남동구 구월남로 172
이지브레인정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 남동구 예술로 138, 이토타워 307,308호 (구월동)",남동구,032-421-1032,37.44624179,126.7010064,인천광역시 남동구 예술로 138,인천 남동구 예술로 138
인주한방병원,한방병원,침구과 한방재활의학과 한방신경정신과 한방내과 가정의학과,MENTAL_HEALTH,"인천광역시 남동구 인주대로 670, 인향콤비타워 5층,101일부,104,601,602호 (구월동)",남동구,1833-7887,37.44909874,126.7113808,인천광역시 남동구 인주대로 670,인천 남동구 인주대로 670
